00003_baalaaxeechia_universe-everything-around-us|baalaaxeechia
02195_iaxxohche_injured_FemaleCitation_CGL_2|iaxxohche
02195_iaxxohche_injured_FemaleStem_CGL_2|iaxxohche
02195_iixoocheek_injured_CGL|iixoocheek
02202_b_baaooshbiishe_red-feather-purple-heart_CGL|baaooshbiishe
02203_b_aluusa_wounded-in-battle_CGL|aluusa
02205_b_iiwaliio-ooshiialashibik_drug-overdose_CGL|iiwaliio ooshiialashibik
02206_b_wooladassisheechik_compound-fracture_CGL|wooladassisheechik
02209_b_iixoosak_not-hurt_CGL|iixoosak
02210_alapaakaaxdeete_not-wounded_FemaleCitation_CGL_2|alapaakaaxdeete
02210_alapaakaaxdeete_not-wounded_FemaleStem_CGL_2|alapaakaaxdeete
02210_b_alapaakaxteedeek_not-wounded_CGL|alapaakaxteedeek
02211_b_aliitiideetiik_alright_CGL|aliitiideetiik
02211-1_b_badaatatuk_hurtful_CGL|badaatatuk
02211-2_b_alataleetkaate_harmless_CGL|alataleetkaate
02211.1_b_badaatatuk_hurtful_CGL|badaatatuk
02211.2_b_alataleetkaate_harmless_CGL|alataleetkaate
02211.3_b_disdichichik_compound-fracture_CGL|disdichichik
02212_b_anneetuk_no-arms_CGL|anneetuk
02213_iihuunneete_legs-without_FemaleCitation_CGL_1|iihuunneete
02214_b_ischeelaxawe-hummeetuk_no-hand_CGL|ischeelaxawe hummeetuk
02214_ischalataawe-hummeete_fingers-without_FemaleCitation_CGL_2|ischalataawe hummeete
02214_ischalataawe-hummeete_fingers-without_FemaleStem_CGL_2|ischalataawe hummeete
02216_b_aleeduutaachik_arm-torn-off_CGL|aleeduutaachik
02217_b_iilasbashichiik_shoulder-dislocated_CGL|iilasbashichiik
02218_b_istchkaapa-puushuuk_cut-off-at-wrist_CGL|istchkaapa puushuuk
02221_b_aleetbishik_artificial-arm_CGL|aleetbishik
02225_b_duusaakaatek_deformed_CGL|duusaakaatek
02232_ishtalaxpasheehche_eye-lids-drooping_FemaleCitation_CGL_1|ishtalaxpasheehche
02232_ishtalaxpasheehche_eye-lids-drooping_FemaleStem_CGL_2|ishtalaxpasheehche
02233_b_baiikisuk_blind_CGL|baiikisuk
02236_b_isthepashiik_eyes-going-out-to-side_CGL|isthepashiik
02236_baaisshiio_drink-something_FemaleCitation_CGL_2|baaisshiio
02236_baaisshiio_drink-something_FemaleStem_CGL_1|baaisshiio
02236_ishtapaashe_eyes-going-out-to-side_FemaleCitation_CGL_2|ishtapaashe
02236_ishtapaashe_eyes-going-out-to-side_FemaleCitation_CGL_3|ishtapaashe
02236_ishtapaashe_eyes-going-out-to-side_FemaleStem_CGL_2|ishtapaashe
02236_ishtapaashe_eyes-going-out-to-side_FemaleStem_CGL_3|ishtapaashe
02237_b_isthekiwishik_one-who-wears-glasses_CGL|isthekiwishik
02238_b_baleishkawashe_eye-doctor_CGL|baleishkawashe
02239_b_baleishtekbaaliia_eye-doctor_CGL|baleishtekbaaliia
02239_baaishtakbalia_eye-doctor_FemaleCitation_CGL_2|baaishtakbalia
02249_b_isanneelia_make-someone-sick_CGL|isanneelia
02250_b_chikitcheesaa_not-taking-care-of-oneself_CGL|chikitcheesaa
02250_b_ichikitcheesaa_not-taking-care-of-oneself_CGL|ichikitcheesaa
02250_ihchikitcheessaa_taking-care-of-oneself-no_FemaleCitation_CGL_2|ihchikitcheessaa
02250_ihchikitcheessaa_taking-care-of-oneself-no_FemaleCitation_CGL_3|ihchikitcheessaa
02250_ihchikitcheessaa_taking-care-of-oneself-no_FemaleStem_CGL_2|ihchikitcheessaa
02251_b_ihchanneessaa_make-yourself-sick_CGL|ihchanneessaa
02252_b_ihchanneehili_make-yourself-sick_CGL|ihchanneehili
02253_b_isanneedutch_get-someones-disease_CGL|isanneedutch
02256_b_oossheepua_spoiled-food_CGL|oossheepua
02259_b_iikoote-chichiiluua_diagnosis_CGL|iikoote chichiiluua
02262_b_baaluxiipissaa_numb_CGL|baaluxiipissaa
02262_baaluuxiipissee_not-able-to-accomplish--u_FemaleCitation_CGL_2|baaluuxiipissee
02262_baaluuxiipissee_not-able-to-accomplish--u_FemaleCitation_CGL_3|baaluuxiipissee
02262_baaluuxiipissee_not-able-to-accomplish--u_FemaleStem_CGL_2|baaluuxiipissee
02266_b_basaassaa_tired-no-strength-or-energy_CGL|basaassaa
02267_b_kawiitaahili_weak_CGL|kawiitaahili
02267_kawiitaahile_weak_FemaleCitation_CGL_2|kawiitaahile
02267_kawiitaahile_weak_FemaleStem_CGL_2|kawiitaahile
02268_b_aptehaawi_liver-failure_CGL|aptehaawi
02271_b_ishtedakkoopuuate_empty-eye-sockets_CGL|ishtedakkoopuuate
02276_b_axuachilinniata_chills_CGL|axuachilinniata
02279_aleemmaawatchaatdia_pain-suffer-from-_FemaleCitation_CGL_2|aleemmaawatchaatdia
02279_aleemmaawatchaatdia_pain-suffer-from-_FemaleStem_CGL_2|aleemmaawatchaatdia
02279_aleemmaawatchaatdia_pain-suffer-from-_FemaleStem_CGL_3|aleemmaawatchaatdia
02279_b_aleemmaawatchaatdia_suffer-from-pain_CGL|aleemmaawatchaatdia
02285_aapchiwishe_to-have-a-voice-authority_AudioBank_CGL_1|aapchiwishe
02285_aapchiwishe_to-have-a-voice-authority_AudioBank_CGL_2|aapchiwishe
02285_aapchiwishe_to-have-a-voice-authority_FemaleCitation_CGL_1|aapchiwishe
02285_aapchiwishe_to-have-a-voice-authority_FemaleStem_CGL_1|aapchiwishe
02285_b_axua-tawee-chi_have-a-fever_CGL|axua tawee chi
02288_b_sapiikaate_tender_CGL|sapiikaate
02289_b_axua-alee_body-ache_CGL|axua alee
02293_b_ahluuxalee_earache_CGL|ahluuxalee
02294_b_aashalee_headache_CGL|aashalee
02295_b_duulalee_back-ache_CGL|duulalee
02297_b_ishniiwishe_gall-stone_CGL|ishniiwishe
02298_b_eelaxussaa_cant-pee_CGL|eelaxussaa
02300_b_uushpuua-alee_stomach-ache_CGL|uushpuua alee
02301_b_iialee_tooth-ache_CGL|iialee
02304_b_axua-shua_body-bruised_CGL|axua shua
02305_aleeshtakaata_mild-pain_FemaleCitation_CGL_3|aleeshtakaata
02305_aleeshtakaata_mild-pain_FemaleStem_CGL_2|aleeshtakaata
02305_b_aleeshtakaata_mild-pain_CGL|aleeshtakaata
02308_b_baashiista_goes-to-sleep-arm-leg_CGL|baashiista
02309_baakuuwissaa_rich_FemaleCitation_CGL_1|baakuuwissaa
02309_baakuuwissaa_rich_FemaleCitation_CGL_2|baakuuwissaa
02309_baakuuwissaa_rich_FemaleStem_CGL_1|baakuuwissaa
02309_baakuuwissaa_rich_FemaleStem_CGL_2|baakuuwissaa
02312_b_aleeshta_really-hurts_CGL|aleeshta
02313_b_chia-alee_bad-pain_CGL|chia alee
02314_b_aleeshtam-xawii_bad-pain_CGL|aleeshtam xawii
02315_b_alee-koowissaa_pain_CGL|alee koowissaa
02316_b_kannaa-alee_hurts-more_CGL|kannaa alee
02317_b_aleewaatchaatdawi_pain-growing_CGL|aleewaatchaatdawi
02318_b_dappushdawi_swelling-increases_CGL|dappushdawi
02319_b_aleeloosalak_pain-decreases_CGL|aleeloosalak
02320_b_alee-beaxdawi_pain-decreasing_CGL|alee beaxdawi
02322_b_oochialawi_pain-getting-better_CGL|oochialawi
02324_b_leeakachiia_pain-over-and-over_CGL|leeakachiia
02325_b_alee-shiassaa_pain-for-a-short-time_CGL|alee shiassaa
02326_b_oochiahi_got-better-right-away_CGL|oochiahi
02327_b_aleehtaa-shiassa-koowi_pain-for-a-short-time_CGL|aleehtaa shiassa koowi
02328_b_iaxxohche_cause-pain_CGL|iaxxohche
02332_b_iliiahaachi_howl_CGL|iliiahaachi
02335_b_axua-kalaakkalaachi_contort-in-pain_CGL|axua kalaakkalaachi
02336_b_iaxxo-iipattatchialahku_hurts-so-much-hes-rolling-around_CGL|iaxxo iipattatchialahku
02337_b_ihchipapasshihche_doubled-up_CGL|ihchipapasshihche
02341_b_iaxxossaa_not-hurting_CGL|iaxxossaa
02342_b_aleessaa_doesnt-hurt_CGL|aleessaa
02344_b_axua-tawee-lawik_fever-increasing_CGL|axua tawee lawik
02345_b_axua-tawee-baaxaalawi_fever-increasing_CGL|axua tawee baaxaalawi
02345_baaxaalawe_CGL|baaxaalawe
02345_baaxaalawik_CGL|baaxaalawik
02346_b_axua-tawee-oochialawi_fever-decreasing_CGL|axua tawee oochialawi
02347_b_axua-taweea-awaxaalawi_fever-decreasing_CGL|axua taweea awaxaalawi
02348_b_axua-tannaa_shiver_CGL|axua tannaa
02351_b_iishpuua-dappusha_stomach-swelling_CGL|iishpuua dappusha
02352_b_annappushe-awassdeek_swellin-decreasing_CGL|annappushe awassdeek
02356_b_ihawihkuua_go-under-anasthetic-put-to-sleep_CGL|ihawihkuua
02358_b_baaehcheleeta_coma_CGL|baaehcheleeta
02359_b_baaehcheleetdawi_lose-consciousness_CGL|baaehcheleetdawi
02361_b_chitchipaachi_blank-but-still-aware_CGL|chitchipaachi
02363_b_ihehichehkaalawi_regain-consciousness_CGL|ihehichehkaalawi
02364_b_ihchichehchehche_resuscitate_CGL|ihchichehchehche
02365_b_akihawihche_anesthesiologist_CGL|akihawihche
02367_b_chitchiptaalawi_lose-consciousness_CGL|chitchiptaalawi
02375_b_chitchiptaahili_completely-out-of-it_CGL|chitchiptaahili
02376_b_baaehcheleettaahili_completely-out-of-it_CGL|baaehcheleettaahili
02378_b_taataweeta_thinks-clearly_CGL|taataweeta
02378_taataweete_clear-thinking-using_FemaleCitation_CGL_2|taataweete
02378_taataweete_clear-thinking-using_FemaleStem_CGL_2|taataweete
02381_b_teelawiteeta_not-thinking-clearly_CGL|teelawiteeta
02383_b_ammaashiale_dream_CGL|ammaashiale
02384_b_ihammaashiale_sleep-time-dream_CGL|ihammaashiale
02386_b_baashianchiwaau_telling-dream_CGL|baashianchiwaau
02389_b_baashialaachi_go-into-a-trance_CGL|baashialaachi
02391_b_ihchichehche_come-out-of-a-trance_CGL|ihchichehche
02392_b_baalushkuua_hex-something-out-of-the-ordinary |baalushkuua
02392_b_baalushkuua_hex-something-out-of-the-ordinary|baalushkuua
02395_b_biannushkuua_cant-keep-women-off-your-man_CGL|biannushkuua
02396_b_aannuttuua_doing-something-to-someone-wo-others-knowledge_CGL|aannuttuua
02397_b_akbaaiikukko_one-who-listens-helps-people_CGL|akbaaiikukko
02398_b_baahawassiia_treatment_CGL|baahawassiia
02399_b_iaxxoomhawassee_treat-the-injured_CGL|iaxxoomhawassee
02400_b_akbaahawassee-_healer_CGL|akbaahawassee
02401_b_baailishmiassee_care-for-sick_CGL|baailishmiassee
02402_b_iile-axpihkuua_blood-transfusion_CGL|iile axpihkuua
02403_b_iiwaaapaalio_bandage-bandaid_CGL|iiwaaapaalio
02404_b_iileoochiahche_apply-a-tourniquet_CGL|iileoochiahche
02407_b_aalakhaaisshe_sling_CGL|aalakhaaisshe
02408_b_uuwate-iichikaatuua_staple_CGL|uuwate iichikaatuua
02410_b_axus-biio_performing-an-operation|axus biio
02412_b_ii-waa-awaxuua_scalpel|iiwaaawaxuua
02413_b_iiwaaihawihkuua_anesthesia_CGL|iiwaaihawihkuua
02414_b_axua-waalaatuua_diagnosis_CGL|axuawaalaatuua
02417_b_iiishtataachissuua_a-cure_CGL|iiishtataachissuua
02418_b_iikuxsuua_cure-antidote_CGL|iikuxsuua
02420_b_axua-awuua-iichichikuua_cat-scan_CGL|axua awuua iichichikuua
02421_b_ihchichikittuua_hygiene_CGL|ihchichikittuua
02424_b_ akbaaoochiahche_healer_CGL|akbaaoochiahche
02424_b_akbaaoochiahche_healer_CGL|akbaaoochiahche
02425_b_akbaahawasee_healer_CGL|akbaahawasee
02426_akbaaiiahawasee_dentist_FemaleCitation_CGL_3|akbaaiiahawasee
02426_b_akbaaiiahawasee_dentist_CGL|akbaaiiahawasee
02427_b_baaaxuawishe-akbaalia_veterinarian_CGL|baaaxuawishe akbaalia
02427_baaaxuawishe-akbaalia_veterinarian_FemaleCitation_CGL_2|baaaxuawishe akbaalia
02428_akbaaaxushe_surgeon_FemaleCitation_CGL_2|akbaaaxushe
02428_b_akbaaaxushe_surgeon_CGL|akbaaaxushe
02429_akbaapaachileliche_chiropractor_FemaleCitation_CGL_2|akbaapaachileliche
02429_b_akbaapaachilelich_chiropractor_CGL|akbaapaachilelich
02430_akbaaiinnutche_one-who-draws-blood_FemaleCitation_CGL_2|akbaaiinnutche
02430_akbaaiinnutche_one-who-draws-blood_FemaleCitation_CGL_3|akbaaiinnutche
02430_akbaaiinnutche_one-who-draws-blood_FemaleCitation_CGL_4|akbaaiinnutche
02430_b_akbaaiinnutche_one-who-draws-blood_CGL|akbaaiinnutche
02431_b_akbaaliashishiahe_different-medical-personnel_CGL|akbaaliashishiahe
02432_akbaalialeetdeelee_quack--fake-doctor_FemaleCitation_CGL_2|akbaalialeetdeelee
02432_b_akbaalialeetdeelee_guards_CGL|akbaalialeetdeelee
02433_b_baawaalaaxaathawassee_psychiatrist_CGL|baawaalaaxaathawassee
02435_b_istuua-baaawuussiio_eye-drops_CGL|istuua baaawuussiio
02436_b_ahkuxe-baaawuussiio_ear-drops_CGL|ahkuxe baaawuussiio
02438_b_iiwaaihawihkuua_sleeping-pill_CGL|iiwaaihawihkuua
02438_iiwaaihawihkuua_sleeping-pill_FemaleCitation_CGL_2|iiwaaihawihkuua
02439_b_baapassatuua_innoculation-vaccine_CGL|baapassatuua
02439_baapassatuua_innoculation-vaccine_FemaleCitation_CGL_2|baapassatuua
02440_b_baaxoosiiwaapassatuua_penicillin_CGL|baaxoosiiwaapassatuua
02440_baaxoosiiwaapassatuua_penicillin_FemaleCitation_CGL_2|baaxoosiiwaapassatuua
02441_b_iiwaaapchisuua_ointment_CGL|iiwaaapchisuua
02442_b_iiwaapaachisuua_ointment-lotion--something-put-on-skin_CGL|iiwaapaachisuua
02443_b_iwaahualio_cough-syrup_CGL|iwaahualio
02446_b_iiwaalio-baxuassee_take-medicine_CGL|iiwaalio baxuassee
02448_b_hawatbaatdutchi_take-a-dose-of-medicine_CGL|hawatbaatdutchi
02448_hawatbatdutchi_take-a-dose-of-medicine_FemaleCitation_CGL_2|hawatbatdutchi
02448_hawatbatdutchi_take-a-dose-of-medicine_FemaleStem_CGL_2|hawatbatdutchi
02450_b_iiwaalioisshe_medicine-container_CGL|iiwaalioisshe
02452_b_akiiwaalioiiwaaiaschile_sell-medicine-one-who_CGL|akiiwaalioiiwaaiaschile
02453_b_akiiwaaliokee_druggie_CGL|akiiwaaliokee
02460_b_balapuaisshe_choke-cherry-bark_CGL|balapuaisshe
02460_balapuuaisshe_choke-cherry-bark_FemaleCitation_CGL_2|balapuuaisshe
02465_b_baaxaalioashe_nursing-home_CGL|baaxaalioashe
02466_b_ammalio_clinic_CGL|ammalio
02467_B_ammaawaalaaxaachashe_mental-hospital_CGL|ammaawaalaaxaachashe
02468_b_bilissheeashe_mortuary_CGL|bilissheeashe
02469_b_ammaaaxusuuaashe_operating-room_CGL|ammaaaxusuuaashe
02470_b_iiwaalio-alakuua_pharmacy_CGL|iiwaalio alakuua
02471_b_iiwaalio-annuusaau_medicine-cabinet_CGL|iiwaalio annuusaau
02471_iiwaalio-annuusaau_medicine-cabinet_FemaleCitation_CGL_2|iiwaalio annuusaau
02472_b_iiwaaasseechikamnaan_ambulance_CGL|iiwaaasseechikamnaan
02473_b_baaanneeiilaalee_ambulance_CGL|baaanneeiilaalee
02475_b_akbaahawassee-_medicine-man-healer_CGL|akbaahawassee
02476_b_ahpalaaxakbaalia_traditional-healer_CGL|ahpalaaxakbaalia
02478_b_akbaauushleelia_someone-who-treats-colic-lumbago_CGL|akbaauushleelia
02479_b_akpixuahawassee_one-who-treats-diarrhea_CGL|akpixuahawassee
02482_b_alakootkootassaa_insane-mentally-ill_CGL|alakootkootassaa
02484_b_ammaalasshihche-kooxissaa_thinking-not-right-not-all-there_CGL|ammaalasshihche kooxissaa
02485_b_ammaalasshihche-hiissaa_not-all-there_CGL|ammaalasshihche hiissaa
02486_b_ammaalasshihche_feeble-minded_CGL|ammaalasshihche
02489_b_daasawuuannaachi_disturbed_CGL|daasawuuannaachi
02491_b_chiwuse-xapiia_lose-you-mind_CGL|chiwuse xapiia
02492_b_bilaxpaake-anneewishdeewialaache_hypochondriac_CGL|bilaxpaake anneewishdeewialaache
02493_b_baalaaxaatbia_becoming-mentally-ill_CGL|baalaaxaatbia
02494_b_iikoote_cause_CGL|iikoote
02495_b_ittawaalaaxdaak_hes-almost-crazy_drinking_CGL|ittawaalaaxdaak
02496_b_axua-baahilaatsaak_vegetable_CGL|axua baahilaatsaak
02499_b_bilaxpaaktaahile_sane-person_CGL|bilaxpaaktaahile
02500_b_baalassihchitaachile_of-sound-mind_CGL|baalassihchitaachile
02502_b_itbilaaxpaakak_someone-who-is-alive_CGL|itbilaaxpaakak
02504_b_baakaatkaate_toddlers_CGL|baakaatkaate
02505_iichixaape_children-about-to-enter-high-school_CGL|iichixaape
02512_b_aammaleewilaaxpaake_lifetime_CGL|aammaleewilaaxpaake
02514_b_iiiilikuuk_to-keep-someone-alive-life-support_CGL|iiiilikuuk
02515_b_xxaaliuk_to-outlive-to-survive_CGL|xaalio
02523_b_baapakooteeluk_theyre-together-joined-together_CGL|baapakooteeluk
02523_s_b_baapakooteeluk_theyre-together-joined-together_CGL|baapakooteeluk
02526_b_aaxpaachukpe_hitched-the-ones-that-are-married_CGL|aaxpaachukpe
02527_b_baachakpuashiikaashik_married-for-a-long-time_CGL|baachakpuashiikaashik
02532_b_baachaapua_possessive-of-a-spouse_CGL|baachaapua
02536_b_kaakachiiwooshik_a-man-getting-married-again_CGL|kaakachiiwooshik
02537_b_waaakaashik_married-many-times_CGL|waaakaashik
02538_b_chiileeaakaashik_many-husbands_CGL|chiileeaakaashik
02541_b_woowatuk_one-wife_CGL|woowatuk
02587_s_b_baaxiiloo_bride_CGL|baaxiiloo
02589_s_b_paachaxpadiidook_legally-married_CGL|paachaxpadiidook
02593_s_b_iihxuakpaachakpuk_to-elope_CGL|iihxuakpaachakpuk
02598_s_b_oosheewaakookok_parading-the-son-in-law |oosheewaakookok
02598_s_b_oosheewaakookok_parading-the-son-in-law|oosheewaakookok
02600_s_b_chiimishik_the-bride-getting-married_CGL|chiimishik
02601_s_b_woowiishik_the-groom-getting-married_CGL|woowiishik
02607_akbaakussbaahiilia_minister_FemaleCitation_CGL_2|akbaakussbaahiilia
02612_s_b_biiluukaaiikiiluuchilik_to-dress-in-Crow-style_CGL|biiluukaaiikiiluuchilik
02613_isaahuupataahile_moccassins_FemaleCitation_CGL_2|isaahuupataahile
02627_chileewassee_husband-first_FemaleCitation_CGL_2|chileewassee
02638_daakee-iikukuua_custody-to-get_FemaleCitation_CGL_1|daakee iikukuua
02638_daakee-iikukuua_custody-to-get_FemaleStem_CGL_1|daakee iikukuua
02676_s_b_baacheexooshiikaatilik_to-act-handsome-act-desirable_CGL|baacheexooshiikaatilik
02688_baawalishtakooshteechiiluua_vision-quest-fasting-in-h_FemaleCitation_CGL_1|baawalishtakooshteechiiluua
02688_baawalishtakooshteechiiluua_vision-quest-fasting-in-h_FemaleCitation_CGL_2|baawalishtakooshteechiiluua
02688_s_b_iischeeshik_poor-face-not-good-looking_CGL|iischeeshik
02690_bilihkuua_to-give-water-to_FemaleCitation_CGL_1|bilihkuua
02690_bilihkuua_to-give-water-to_FemaleCitation_CGL_2|bilihkuua
02690_bilihkuua_to-give-water-to_FemaleStem_CGL_1|bilihkuua
02690_bilihkuua_to-give-water-to_FemaleStem_CGL_2|bilihkuua
02692_s_b_taashiio_lotioning_CGL|taashiio
02693_s_b_aatchiihche_nursing_CGL|aatchiihche
02694_s_b_saaxiihche_burp_CGL|saaxiihche
02695_s_b_daakbishe_having-child_CGL|daakbishe
02696_s_b_ishuapaachiile_massage_CGL|ishuapaachiile
02700_iliiammassee_first-breath_FemaleCitation_CGL_1|iliiammassee
02714_s_b_eeliseek_caused-pregnancy-referes-to-man_CGL|eeliseek
02715_s_b_daakapaalik_growing-child-refers-to-fetus_CGL|daakapaalik
02716_s_b_ammishehiik_time-to-be-born_CGL-2|ammishehiik
02717_kalachipasshiia_baby-turns-in-utero_FemaleCitation_CGL_2|kalachipasshiia
02717_kalachipasshiia_baby-turns-in-utero_FemaleStem_CGL_2|kalachipasshiia
02717_s_b_kaalachipaashiik_baby-turns-in-utero_CGL|kaalachipaashiik
02718_s_b_duuwaxeek_baby-is-breech_CGL|duuwaxeek
02722_ishbile_vaginal-fluid_FemaleCitation_CGL_1|ishbile
02724_s_b_daakdeetak_sterilized_CGL|daakdeetak
02729_s_b_bishihsaashek_still-born_CGL|bishihsaashek
02738_s_b_kaanaakbishbiak_its-time-for-birth_CGL|kaanaakbishbiak
02739_iishpuahawaxe-daakalustuua_caesarean-birth_FemaleCitation_CGL_1|iishpuahawaxe daakalustuua
02750_s_b_daakbishdaahkuk_keeps-having-kids_CGL|daakbishdaahkuk
02751_s_b_daakdeedak_no-offspring_CGL|daakdeedak
02752_s_b_bialaakdeetek_women-with-no-children_CGL|bialaakdeetek
02753_s_b_bacheelaakdeete_men-with-no-children_CGL|bacheelaakdeete
02757_b_ohchipikua_baptism_CGL|ohchipikua
02758_b_iixiasaaliio_naming-old-term_CGL|iixiasaaliio
02760_b_ashbaale-axpichek_added-one-more-bear-refers-to-birth_CGL|ashbaale axpichek
02761_b_baahilaake_newborn_CGL|baahilaake
02762_b_daashhiluua_naming_CGL|daashhiluua
02764_b_baakaatiische_small-child-toddler_CGL|baakaatiische
02766_b_xaakaahissdaakaache_wiggle_CGL|xaakaahissdaakaache
02767_b_disshisdaakaache_make-the-baby-dance-bounce_CGL|disshisdaakaache
02769_b_awachicheek_sit-up_CGL|awachicheek
02769_s_b_awachicheek_sit-up_CGL|awachicheek
02770_b_diimmiise_toddle-first-step_CGL|diimmiise
02771_b_iiwileheek_drooling_CGL|iiwileheek
02771_s_b_iiwileheek_drooling_CGL|iiwileheek
02774_b_iiliikaache_learning-to-talk_CGL|iiliikaache
02775_b_baakaatchilixtukua_swaddle-in-a-blanket_CGL|baakaatchilixtukua
02776_b_baakaatiisiio_watch-baby_CGL|baakaatiisiio
02776_s_b_baakaatiisiio_watch-baby_CGL|baakaatiisiio
02778_b_baakaatachiikuua_breast-feed_CGL|baakaatachiikuua
02779_b_baakaatsakaashche_cuddle_CGL|baakaatsakaashche
02781_b_iiachiio_baby-bottle_CGL|iiachiio
02782_b_iidaashike-achipe_the-nipple-of-the-bottle_CGL|iidaashike achipe
02783_b_aabikkshe_bib_CGL|aabikkshe
02785_b_baakaatdaxpe_hug-a-baby_CGL|baakaatdaxpe
02786_b_baakaatxaache_rock-a-baby_CGL|baakaatxaache
02786_s_b_baakaatxaache_rock-a-baby_CGL|baakaatxaache
02789_b_iiwaakaatpaaxaluua_stroller_CGL|iiwaakaatpaaxaluua
02790_b_iiwaakaatchiio_backpack-to-carry-baby_CGL|iiwaakaatchiio
02795_b_saxiiche_burp_CGL|saxiiche
02799_iiakkchiishuua_pacifier_CGL|iiakkchiishuua
02812_baaisdaatche_bully-to-tease-to_FemaleCitation_CGL_2|baaisdaatche
02812_baaisdaatche_bully-to-tease-to_FemaleCitation_CGL_3|baaisdaatche
02812_baaisdaatche_bully-to-tease-to_FemaleStem_CGL_2|baaisdaatche
02813_baakaatahpalaaxeete_brat--bad-child--bully--c_FemaleCitation_CGL_2|baakaatahpalaaxeete
02813_baakaatahpalaaxeete_brat--bad-child--bully--c_FemaleStem_CGL_2|baakaatahpalaaxeete
02815_aashkeeleete_to-castrate_FemaleCitation_CGL_1|aashkeeleete
02815_aashkeeleete_to-castrate_FemaleStem_CGL_1|aashkeeleete
02829_baakaatdutchixawiia_abused-child_FemaleCitation_CGL_2|baakaatdutchixawiia
02830_baakaatiiwisheexawiia_bad-upbringing_FemaleStem_CGL_2|baakaatiiwisheexawiia
02831_baataatdiokuotaaache_spoil-a-child_FemaleCitation_CGL_1|baataatdiokuotaaache
02831_baataatdiokuotaaache_spoil-a-child_FemaleStem_CGL_1|baataatdiokuotaaache
02831_baataatdiokuotaaache_spoil-a-child_FemaleStem_CGL_2|baataatdiokuotaaache
02832_xapaaliahche_treating-someone-like-the_FemaleCitation_CGL_2|xapaaliahche
02832_xapaaliahche_treating-someone-like-the_FemaleStem_CGL_2|xapaaliahche
02835_bachiishiia_mix_FemaleCitation_CGL_2|bachiishiia
02835_bachiishiia_mix_FemaleStem_CGL_1|bachiishiia
02836_baakaatiassee_baby-sit_FemaleCitation_CGL_2|baakaatiassee
02836_baakaatiassee_baby-sit_FemaleStem_CGL_2|baakaatiassee
02840_s_b_aluxoosxawiik_sexually-active_CGL|aluxoosxawiik
02843_s_b_dookasuuk_-a-young-girl-looking-for-sex_CGL|dookasuuk
02844_s_b_biawaalaaxe_crazy-woman-looking-for-sex_CGL|biawaalaaxe
02907_b_hiiladisshik_first-dance_CGL|hiiladisshik
02907_s_b_hiiladisshik_first-dance_CGL|hiiladisshik
02912_b_xaxuite_steps-of-an-initiation_CGL|xaxuite
02914_b_itchiixaapiik_coming-of-age_CGL|itchiixaapiik
02914_s_b_itchiixaapiik_coming-of-age_CGL|itchiixaapiik
02916_b_iishbaale_age_CGL|iishbaale
02916_ishbaaluua_age_FemaleCitation_CGL_2|ishbaaluua
02918_aashuua-alakokoope_to-pierce-head_FemaleCitation_CGL_1|aashuua alakokoope
02918_aashuua-alakokoope_to-pierce-head_FemaleStem_CGL_1|aashuua alakokoope
02924_aashuua-bachiilituua_butt-heads-physically_FemaleCitation_CGL_1|aashuua bachiilituua
02924_aashuua-bachiilituua_butt-heads-physically_FemaleStem_CGL_1|aashuua bachiilituua
02926_b_bacheeshakaatak_weak-man_CGL|bacheeshakaatak
02926_s_b_bacheeshakaatak_weak-man_CGL|bacheeshakaatak
02927_s_b_bacheewatchaadaatalake_manly-man_CGL|bacheewatchaadaatalake
02930_b_ashkeeleete_castrate_CGL|ashkeeleete
02932_b_axuuleedoochik_separated-from-wife_CGL|axuuleedoochik
02932_s_b_axuuleedoochik_separated-from-wife_CGL|axuuleedoochik
02933_b_biaseek_widower_CGL|biaseek
02933_s_b_biaseek_widower_CGL|biaseek
02934_b_biaschuukakaate_little-brother_CGL|biaschuukakaate
02939_b_biachiineete_no-husband-single_CGL|biachiineete
02939_s_b_biachiineete_no-husband-single_CGL|biachiineete
02940_b_biawalaaxe_prostitute_CGL|biawalaaxe
02943_b_biabalaxheetak_bitch_CGL|biabalaxheetak
02943_biapaalaxeeta_bitch--mean-woman--rude-w_FemaleCitation_CGL_2|biapaalaxeeta
02943_biapaalaxeeta_bitch--mean-woman--rude-w_FemaleStem_CGL_2|biapaalaxeeta
02943_s_b_biabalaxheetak_bitch_CGL|biabalaxheetak
02945_b_biashiixooosa_horny-woman_CGL|biashiixooosa
02946_b_biaisakuupe_conniving-woman_CGL|biaisakuupe
02947_b_biabaawaata_easy-woman_CGL|biabaawaata
02951_b_biabaatchachick_outstanding-woman_CGL|biabaatchachick
02951_s_b_biabaatchachick_outstanding-woman_CGL|biabaatchachick
02960_b_kalasheek_died_CGL|kalasheek
02960_s_b_kalasheek_died_CGL|kalasheek
02962_b_ooxeetuataksheek_died-from-pneumonia_CGL|ooxeetuataksheek
02962_s_b_ooxeetuataksheek_died-from-pneumonia_CGL|ooxeetuataksheek
02964_b_aptehaawik_cirrhosis_CGL|aptehaawik
02964_s_b_aptehaawik_cirrhosis_CGL|aptehaawik
02967_b_dappiok_killed-murdered_CGL|dappiok
02967_s_b_dappiok_killed-murdered_CGL|dappiok
02968_b_xaaliaxkaate-iisheek_died-from-old-age_CGL|xaaliaxkaate iisheek
